編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPORMLRJRHGGFAO76EA,9,12.27,共有部分,鋼筋混凝土造,101年4月20日,十一層,
RPORMLRJRHGGFAO76EA,9,39.74,共有部分,鋼筋混凝土造,101年4月20日,十一層,
RPTNMLSJRHGGFAO96EA,9,63.74,集合住宅,鋼筋混凝土造,101年5月28日,七層,七層 陽台 雨遮
RPTNMLSJRHGGFAO96EA,9,49.07,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPTNMLSJRHGGFAO96EA,9,6.03,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPTNMLSJRHGGFAO96EA,9,5.69,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPTNMLSJRHGGFAO96EA,9,1.22,共有部分,鋼筋混凝土造,101年5月28日,七層,
RPVPMLSJRHGGFAO37EA,,95.39,,鋼筋混凝土造,,五層,四層 陽台
RPVPMLSJRHGGFAO37EA,,14.68,共有部分,鋼筋混凝土造,,五層,
RPOQMLSJRHGGFAO76EA,,213.58,住工用,鋼筋混凝土造,,四層,一層 二層 三層 四層 陽台 平台 露台
RPSNMLSJRHGGFAO86EA,28,.56,住家用,鋼筋混凝土造,82年11月4日,九層,一層 二層
RPSNMLSJRHGGFAO86EA,28,30.19,住家用,鋼筋混凝土造,82年11月4日,九層,三層 陽台
RPSNMLSJRHGGFAO86EA,28,.04,共有部分,鋼筋混凝土造,82年11月4日,九層,
RPSNMLSJRHGGFAO86EA,28,15.47,共有部分,鋼筋混凝土造,82年11月4日,九層,
RPPNMLSJRHGGFAO56EA,6,96.99,集合住宅,鋼筋混凝土造,104年12月7日,八層,二層 陽台
RPPNMLSJRHGGFAO56EA,6,17.51,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPPNMLSJRHGGFAO56EA,6,60.72,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPWPMLSJRHGGFAO47EA,10,.02,守衛室,鋼筋混凝土造,100年5月1日,十四層,一層
RPWPMLSJRHGGFAO47EA,10,114.34,集合住宅,鋼筋混凝土造,100年5月1日,十四層,二層 陽台 雨遮
RPWPMLSJRHGGFAO47EA,10,21.18,共有部分,鋼筋混凝土造,100年5月1日,十四層,
RPWPMLSJRHGGFAO47EA,10,.00,共有部分,鋼筋混凝土造,100年5月1日,十二層,
RPWPMLSJRHGGFAO47EA,10,19.92,共有部分,鋼筋混凝土造,100年5月1日,十四層,
RPWPMLSJRHGGFAO47EA,10,24.84,共有部分,鋼筋混凝土造,100年5月1日,十四層,
RPXPMLSJRHGGFAO57EA,7,28.88,集合住宅,鋼筋混凝土造,103年8月30日,十二層,七層 陽台 雨遮
RPXPMLSJRHGGFAO57EA,7,21.07,共有部分,鋼筋混凝土造,103年8月30日,十二層,
RPROMLTJRHGGFAO86DA,67,98.00,住家用,加強磚造,43年7月23日,一層,一層
RPWOMLTJRHGGFAO37DA,1,.01,辦公室（廳）,鋼筋混凝土造,109年5月12日,二十一層,一層
RPWOMLTJRHGGFAO37DA,1,85.11,集合住宅,鋼筋混凝土造,109年5月12日,二十一層,五層 陽台
