編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQSMLSKQHGGFEE09DA,1,77.68,本共有部分之項目有停車空間、防空避難室兼停車空間、防災中心、中繼水箱、樓梯間等５項。,鋼筋混凝土造,109年9月4日,023,
RPTOMLLLPHGGFEE28DA,23,174.99,住商用,鋼筋混凝土造,87年4月18日,004,一層 二層 三層 四層 陽台 屋頂突出物
RPQOMLMKQHGGFEE08DA,6,57.29,集合住宅,鋼筋混凝土,104年10月2日,015,十一層 陽台
RPQOMLMKQHGGFEE08DA,6,28.28,本共有部分之項目有防空避難室兼停車空間、梯間、梯廳、車道、基地內通路、管委會使用空間、自行車停車區、門廊、樓梯間、水箱、電梯機房等１１項。,鋼筋混凝土,104年10月2日,015,
RPRRMLQLQHGGFEE98DA,14,8.70,辦公室,鋼筋混凝土造,96年6月4日,013,四層 雨遮
RPRRMLQLQHGGFEE98DA,14,2.11,共用部分,鋼筋混凝土造,96年6月4日,013,
RPRRMLQLQHGGFEE98DA,14,4.56,共用部分,鋼筋混凝土造,96年6月4日,013,
RPQNMLTLQHGGFEE78DA,1,63.04,集合住宅,鋼筋混凝土造,109年9月4日,023,十六層 陽台
RPQNMLTLQHGGFEE78DA,1,64.98,本共有部分之項目有停車空間、防空避難室兼停車空間、防災中心、中繼水箱、樓梯間等５項。,鋼筋混凝土造,109年9月4日,023,
RPRNMLTLQHGGFEE88DA,1,65.10,集合住宅,鋼筋混凝土造,109年9月4日,023,二十一層 陽台
RPRNMLTLQHGGFEE88DA,1,33.61,本共有部分之項目有停車空間、防空避難室兼停車空間、防災中心、中繼水箱、樓梯間等５項。,鋼筋混凝土造,109年9月4日,023,
RPWRMLLMQHGGFEE09DA,1,86.56,集合住宅,鋼筋混凝土造,109年9月4日,023,二十三層 陽台
RPWRMLLMQHGGFEE09DA,1,77.30,本共有部分之項目有停車空間、防空避難室兼停車空間、防災中心、中繼水箱、樓梯間等５項。,鋼筋混凝土造,109年9月4日,023,
RPPNMLOJRHGGFEE08DA,20,77.86,住家用,見使用執照,90年9月20日,014,六層 陽台 雨遮
RPPNMLOJRHGGFEE08DA,20,56.21,見使用執照,見使用執照,90年9月20日,014,
RPRNMLOJRHGGFEE28DA,28,24.82,住家用,鋼筋混凝土造,83年1月15日,010,八層 陽台
RPRNMLOJRHGGFEE28DA,28,8.45,見使用執照,鋼筋混凝土造,83年1月15日,010,
RPUQMLLMQHGGFEE78DA,3,51.87,集合住宅,鋼筋混凝土,107年5月2日,023,十五層 陽台
RPUQMLLMQHGGFEE78DA,3,31.78,本共有部分之項目包括：停車空間、防空避難室兼停車空間、供管委會使用空間、機械室、門廳、防災中心、門廊、出入口緩衝空間、樓梯間、陽台等１０項　,鋼筋混凝土,107年5月2日,023,
RPUNMLMJRHGGFEE38DA,39,98.98,,鋼筋混凝土造,71年2月27日,005,四層 陽台
RPUNMLMJRHGGFEE38DA,39,5.76,見使用執照,鋼筋混凝土造,71年2月27日,005,
RPUOMLSJRHGGFEE09DA,7,79.86,住家用,鋼筋混凝土,103年4月23日,015,十三層 陽台
RPUOMLSJRHGGFEE09DA,7,58.56,本共有部分之項目有停車空間、防空避難室兼停車空間、車道、外廊、管委會使用空間、門廳、梯間、樓梯間、昇降機機械室、水箱等共１０項。,鋼筋混凝土造,103年4月23日,015,
