鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉瑪僯路４８之２號,123.73,,特定農業區,甲種建築用地,1100807,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080314,197.05,4,2,5,有,無,10600000,53793,,0.0,0,,RPXNMLLJRHGGFBG48DA,186.51,10.54,0.0,有,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市環市東路一段５８５巷１２弄８號,114.44,,特定農業區,甲種建築用地,1100802,土地3建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土造,1051018,222.7,4,2,5,有,無,9650000,43332,,0.0,0,,RPQNMLLKRHGGFBG87DA,213.42,9.28,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權路二段２１７號四樓,29.03,都市：其他:住宅區,,,1100811,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700612,103.22,4,2,2,有,無,3000000,29064,,0.0,0,,RPRNMLLKRHGGFBG97DA,92.03,0.0,0.0,無,
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉壯志路１７巷３號,124.15,都市：其他:住宅區,,,1100816,土地4建物1車位0,二層，三層，四層,四層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0970204,340.23,5,2,3,有,無,10000000,29392,,0.0,0,陽台外推；,RPSNMLLKRHGGFBG08DA,219.31,26.51,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市女中路二段２５６號,45.22,都市：其他:住宅區,,,1100831,土地2建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700316,140.17,2,3,2,有,無,8350000,59571,,0.0,0,陽台外推；,RPXNMLKKRHGGFBG48DA,140.17,0.0,0.0,無,
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮文雅路５７巷１８號十四樓之七,19.65,都市：其他:住宅區,,,1100825,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060814,68.15,1,0,1,有,有,6150000,90242,,0.0,0,,RPQNMLKKRHGGFBG77DA,35.71,2.39,0.0,有,024
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮城東路６８巷１１號,115.97,都市：其他:住宅區,,,1090829,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100603,186.71,3,2,4,有,無,7470000,40009,,0.0,0,,RPTNMLLKRHGGFAG18EA,174.72,11.99,0.0,無,
南澳鄉,土地,仲岳段1-360地號,10000.0,,山坡地保育區,林業用地,1100902,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,40,,0.0,0,,RPQNMLNKRHGGFAG08EA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市軍民路１之２７號,93.59,都市：其他:住宅區,,,1100830,土地2建物1車位2,全,四層,透天厝,住家用,鋼筋混凝土造,0921128,244.98000000000002,4,2,3,有,有,13500000,55107,坡道平面,0.0,0,含傢俱設備費；,RPQNMLNKRHGGFBG18EA,197.28,26.09,0.0,無,
礁溪鄉,土地,三民一段282地號,1700.02,,特定農業區,農牧用地,1100515,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,5294,,0.0,0,,RPTNMLNKRHGGFBG48EA,0.0,0.0,0.0,無,
