鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,房地(土地+建物),新竹市新竹市光華二街１１巷５號－３,5.94,都市：其他:第一種住宅區,,,1100903,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821104,49.53,1,1,1,有,有,1500000,30285,,0.0,0,,RPTOMLNJRHGGFAO09DA,28.38,5.64,0.0,有,
新竹市,房地(土地+建物),新竹市新竹市食品路１５５巷４５號５樓,43.8,都市：其他:第一種住宅區,,,1100813,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730927,112.23,4,2,2,有,無,7800000,69500,,0.0,0,其他增建；,RPWPMLQJRHGGFAO17DA,112.23,0.0,0.0,無,
新竹市,土地,介壽段27地號,3.8,都市：其他:道路用地,,,1100903,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,375000,98684,,0.0,0,包含公共設施保留地用地；,RPUNMLPJRHGGFAO66DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市東大路二段１７２巷１弄２１號１０樓,27.58,都市：其他:第一種住宅區,,,1100812,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870615,155.47,3,2,2,有,有,9200000,59175,,0.0,0,其他增建為前陽台外推其他增建；,RPWQMLLMQHGGFAO96DA,80.74,9.53,0.0,有,033
新竹市,房地(土地+建物)+車位,新竹市新竹市江山街２０巷１號四樓之５,14.0,都市：其他:第二種商業區,,,1100731,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060609,121.66,3,2,2,有,有,10100000,83018,升降機械,11.0,0,陽台外推；其他增建；,RPOPMLKMQHGGFAO58DA,57.99,12.68,0.0,有,034
新竹市,房地(土地+建物)+車位,新竹市新竹市金竹路１１１巷７號３樓,24.54,都市：其他:第一種住宅區,,,1100706,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821111,130.76999999999998,2,2,2,有,有,6500000,49706,升降機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRQMLRLQHGGFAO96DA,84.57,11.64,0.0,有,
新竹市,房地(土地+建物),新竹市新竹市自由路９５巷３８弄１０號３樓之５,5.89,都市：其他:第二種商業區,,,1100808,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800523,43.01,1,1,1,有,有,2200000,51151,,0.0,0,,RPWRMLRKQHGGFAO47DA,27.42,4.35,0.0,有,
新竹市,土地,仙水段472地號,81.83,都市：其他:道路用地,,,1100809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1868962,22840,,0.0,0,包含公共設施保留地用地；,RPVPMLPJQHGGFAO86DA,0.0,0.0,0.0,無,035
新竹市,房地(土地+建物)+車位,新竹市新竹市鐵道路一段２８巷７７號十一樓,27.16,都市：其他:住商混合區,,,1100801,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),集合住宅、機電空間,鋼筋混凝土造,1020916,204.35000000000002,3,2,2,有,有,22800000,111573,坡道平面,0.0,0,含土地增值稅或其他稅費；,RPWOMLTJQHGGFAO27DA,102.35,13.44,0.0,有,036
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路６４０巷１８０號,27.22,都市：其他:第一種住宅區,,,1100805,土地3建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1050930,137.57,0,0,0,無,有,9900000,77647,坡道平面,28.1,1400000,含裝潢費2100000元；,RPXPMLMKQHGGFAO86DA,77.72,0.0,0.0,有,
