編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLQLQHGGFAG38DA,2,236.17,住家用,鋼筋混凝土造,108年10月17日,四層,一層 二層 三層 四層 陽台
RPQOMLLKRHGGFAG87DA,8,164.72,住家用,鋼筋混凝土造,102年5月24日,三層,一層 二層 三層 陽台
RPSOMLKKRHGGFAG97DA,6,195.08,住家用,鋼筋混凝土造,104年12月22日,三層,一層 二層 三層 陽台
RPSNMLNKRHGGFAG18DA,14,91.02,住家用,鋼筋混凝土造,96年2月6日,五層,三層 陽台
RPSNMLNKRHGGFAG18DA,14,.15,守衛室,鋼筋混凝土造,96年2月6日,一層,
RPSNMLNKRHGGFAG18DA,14,18.64,通道．樓梯間,鋼筋混凝土造,96年2月6日,五層,
RPQPMLQLQHGGFBG58DA,28,97.81,住家用,鋼筋混凝土造,82年5月26日,六層,五層 陽台 花台
RPQPMLQLQHGGFBG58DA,28,29.24,共有部份,鋼筋混凝土造,82年5月26日,六層,
RPPNMLMKRHGGFBG87DA,4,128.01,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,十七層 陽台 雨遮
RPPNMLMKRHGGFBG87DA,4,101.76,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPQNMLMKRHGGFBG97DA,4,.20,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,一層
RPQNMLMKRHGGFBG97DA,4,55.45,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPRNMLMKRHGGFBG08DA,4,130.29,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,二十二層 陽台 雨遮
RPRNMLMKRHGGFBG08DA,4,103.97,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPSNMLMKRHGGFBG18DA,4,51.14,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,二十二層 陽台 雨遮
RPSNMLMKRHGGFBG18DA,4,41.04,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPTNMLNKRHGGFBG38DA,2,128.51,集合住宅,鋼筋混凝土造,108年7月26日,十五層,三層 陽台
RPTNMLNKRHGGFBG38DA,2,57.32,本共有部分之項目有：自來水蓄水池、排煙室、汙水處理機房、消防機房、樓梯間、緊急升降機兼無障礙電梯、管道間、樓電梯間、停車空間、台電配電場所、機房、電信室、垃圾處理室、管理員室、發電機室、機電空間、人行道系統、服務性車位、垃圾裝卸車位、會議室、健身房、韻律室、戶外安全梯、管理委員會使用空間、公共管道間、公共服務空間、走道、雨遮、入口大廳等２９項。,鋼筋混凝土造,108年7月26日,十五層,
RPTNMLNKRHGGFBG38DA,2,30.12,本共有部分之項目有：排煙室、緊急升降機間無障礙電梯、梯廳、管道間、管理委員會使用空間、樓梯間、戶外安全梯、公共管道間、電梯、走道、機電空間、電梯機房、水箱等１３項,鋼筋混凝土造,108年7月26日,十五層,
RPVNMLRJRHGGFBG88DA,42,153.00,住家用,鋼筋混凝土加強磚造,68年10月6日,三層,一層 二層 三層
RPTOMLRJRHGGFBG78DA,4,43.50,集合住宅,鋼筋混凝土造,106年8月14日,十五層,七層 陽台 雨遮
