編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNKRHGGFAD67DA,27,219.09,住家用,鋼筋混凝土造,83年4月6日,四層,一層 二層 三層 陽台 屋頂突出物 地下層
RPQNMLNKRHGGFAD67DA,27,22.24,共有部分,鋼筋混凝土造,83年4月6日,四層,
RPRNMLMKRHGGFAD67DA,,99.97,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,四層 陽台 雨遮
RPQOMLLKRHGGFAD57DA,40,89.66,住家用,鋼筋混凝土造,70年12月7日,七層,六層 陽台
RPRNMLMKRHGGFAD67DA,,70.47,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPQOMLLKRHGGFAD57DA,40,7.16,共有部分,鋼筋混凝土造,70年12月7日,七層,
RPQOMLLKRHGGFAD57DA,40,.00,共有部分,鋼筋混凝土造,70年12月7日,七層,
RPQOMLLKRHGGFAD57DA,40,9.53,共有部分,鋼筋混凝土造,70年12月7日,七層,
RPSNMLMKRHGGFAD77DA,,81.30,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,十二層 陽台 雨遮
RPSNMLMKRHGGFAD77DA,,60.36,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPTNMLMKRHGGFAD87DA,,93.03,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,十四層 陽台 雨遮
RPTNMLMKRHGGFAD87DA,,66.71,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPVNMLMKRHGGFAD08DA,,81.31,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,十二層 陽台 雨遮
RPVNMLMKRHGGFAD08DA,,60.36,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPUNMLMKRHGGFAD97DA,,81.31,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,十三層 陽台 雨遮
RPUNMLMKRHGGFAD97DA,,60.36,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPQTMLNKRHGGFAD28DA,,88.25,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,八層 陽台 雨遮
RPQTMLNKRHGGFAD28DA,,64.11,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPWNMLMKRHGGFAD18DA,,93.03,集合住宅,鋼筋混凝土構造,110年6月23日,十四層,三層 陽台 雨遮
RPWNMLMKRHGGFAD18DA,,66.71,本共有部分之項目有管委會使用空間、梯廳、走廊、安全梯、機車停車區、門廊、車道、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間。,鋼筋混凝土構造,110年6月23日,十四層,
RPUNMLKKRHGGFAD77DA,40,3.92,共有部分,鋼筋混凝土造,70年12月19日,七層,
RPUNMLKKRHGGFAD77DA,40,3.02,共有部分,鋼筋混凝土造,70年12月19日,七層,
RPUNMLKKRHGGFAD77DA,40,60.67,住家用,鋼筋混凝土造,70年12月19日,七層,七層 陽台
RPSRMLTJRHGGFAD78DA,,73.42,集合住宅,鋼筋混凝土構造,110年7月27日,十九層,七層 陽台 雨遮
RPSRMLTJRHGGFAD78DA,,65.58,共有部分之項目有防災中心、公共服務空間、管委會、中繼室、門廊、車道、管道間、垃圾暫存空間、梯間、樓梯間、昇降機間、機械室、水箱、停車空間、防空避難室兼停車空間,鋼筋混凝土構造,110年7月27日,十九層,
RPQNMLLKRHGGFAD47DA,22,58.70,共有部分,鋼筋混凝土造,88年8月16日,十四層,
RPQNMLLKRHGGFAD47DA,22,26.71,共有部分,鋼筋混凝土造,88年8月16日,十四層,
RPQNMLLKRHGGFAD47DA,22,13.48,共有部分,鋼筋混凝土造,88年8月16日,十四層,
RPQNMLLKRHGGFAD47DA,22,.67,管理員室,鋼筋混凝土造,88年8月16日,十四層,一層
RPQNMLLKRHGGFAD47DA,22,95.06,一般事務所,鋼筋混凝土造,88年8月16日,十四層,十二層 十三層 陽台 雨遮
RPRRMLTJRHGGFAD68DA,,49.21,集合住宅,鋼筋混凝土構造,110年7月27日,十九層,四層 陽台 雨遮
RPRRMLTJRHGGFAD68DA,,53.59,共有部分之項目有防災中心、公共服務空間、管委會、中繼室、門廊、車道、管道間、垃圾暫存空間、梯間、樓梯間、昇降機間、機械室、水箱、停車空間、防空避難室兼停車空間,鋼筋混凝土構造,110年7月27日,十九層,
RPTNMLOKRHGGFAD08DA,30,20.46,住家用,鋼筋混凝土造,80年5月17日,八層,七層 陽台
